word,category,genre,number,syllables,tonic
abajeño,adjetivo,masculino,singular,a ba je ño,3
abajeña,adjetivo,femenino,singular,a ba je ña,3
abajeños,adjetivo,masculino,plural,a ba je ños,3
abajeñas,adjetivo,femenino,plural,a ba je ñas,3
abatanado,adjetivo,masculino,singular,a ba ta na do,4
abatanada,adjetivo,femenino,singular,a ba ta na da,4
abatanados,adjetivo,masculino,plural,a ba ta na dos,4
abatanadas,adjetivo,femenino,plural,a ba ta na das,4
acusete,adjetivo,neutro,singular,a cu se te,3
acusetes,adjetivo,neutro,plural,a cu se tes,3
alhaja,adjetivo,neutro,singular,a lha ja,2
alhajas,adjetivo,neutro,plural,a lha jas,2
alón,adjetivo,masculino,singular,a lón,2
alona,adjetivo,femenino,singular,a lo na,2
alones,adjetivo,masculino,plural,a lo nes,2
alonas,adjetivo,femenino,plural,a lo nas,2
aparatero,adjetivo,masculino,singular,a pa ra te ro,4
aparatera,adjetivo,femenino,singular,a pa ra te ra,4
aparateros,adjetivo,masculino,plural,a pa ra te ros,4
aparateras,adjetivo,femenino,plural,a pa ra te ras,4
aplazado,adjetivo,masculino,singular,a pla za do,3
aplazada,adjetivo,femenino,singular,a pla za da,3
aplazados,adjetivo,masculino,plural,a pla za dos,3
aplazadas,adjetivo,femenino,plural,a pla za das,3
arruinado,adjetivo,masculino,singular,a rrui na do,3
arruinada,adjetivo,femenino,singular,a rrui na da,3
arruinados,adjetivo,masculino,plural,a rrui na dos,3
arruinadas,adjetivo,femenino,plural,a rrui na das,3
barrial,adjetivo,neutro,singular,ba rrial,2
barriales,adjetivo,neutro,plural,ba rria les,2
cachudo,adjetivo,masculino,singular,ca chu do,2
cachuda,adjetivo,femenino,singular,ca chu da,2
cachudos,adjetivo,masculino,plural,ca chu dos,2
cachudas,adjetivo,femenino,plural,ca chu das,2
canchero,adjetivo,masculino,singular,can che ro,2
canchera,adjetivo,femenino,singular,can che ra,2
cancheros,adjetivo,masculino,plural,can che ros,2
cancheras,adjetivo,femenino,plural,can che ras,2
cebado,adjetivo,masculino,singular,ce ba do,2
cebada,adjetivo,femenino,singular,ce ba da,2
cebados,adjetivo,masculino,plural,ce ba dos,2
cebadas,adjetivo,femenino,plural,ce ba das,2
chancho,adjetivo,masculino,singular,chan cho,1
chancha,adjetivo,femenino,singular,chan cha,1
chanchos,adjetivo,masculino,plural,chan chos,1
chanchas,adjetivo,femenino,plural,chan chas,1
chévere,adjetivo,neutro,singular,ché ve re,1
chéveres,adjetivo,neutro,plural,ché ve res,1
chiche,adjetivo,masculino,singular,chi che,1
chicha,adjetivo,femenino,singular,chi cha,1
chiches,adjetivo,masculino,plural,chi ches,1
chichas,adjetivo,femenino,plural,chi chas,1
choco,adjetivo,masculino,singular,cho co,1
choca,adjetivo,femenino,singular,cho ca,1
chocos,adjetivo,masculino,plural,cho cos,1
chocas,adjetivo,femenino,plural,cho cas,1
cholo,adjetivo,masculino,singular,cho lo,1
chola,adjetivo,femenino,singular,cho la,1
cholos,adjetivo,masculino,plural,cho los,1
cholas,adjetivo,femenino,plural,cho las,1
chueco,adjetivo,masculino,singular,chue co,1
chueca,adjetivo,femenino,singular,chue ca,1
chuecos,adjetivo,masculino,plural,chue cos,1
chuecas,adjetivo,femenino,plural,chue cas,1
citadino,adjetivo,masculino,singular,ci ta di no,3
citadina,adjetivo,femenino,singular,ci ta di na,3
citadinos,adjetivo,masculino,plural,ci ta di nos,3
citadinas,adjetivo,femenino,plural,ci ta di nas,3
correntoso,adjetivo,masculino,singular,co rren to so,3
correntosa,adjetivo,femenino,singular,co rren to sa,3
correntosos,adjetivo,masculino,plural,co rren to sos,3
correntosas,adjetivo,femenino,plural,co rren to sas,3
coyotero,adjetivo,masculino,singular,co yo te ro,3
coyotera,adjetivo,femenino,singular,co yo te ra,3
coyoteros,adjetivo,masculino,plural,co yo te ros,3
coyoteras,adjetivo,femenino,plural,co yo te ras,3
demoroso,adjetivo,masculino,singular,de mo ro so,3
demorosa,adjetivo,femenino,singular,de mo ro sa,3
demorosos,adjetivo,masculino,plural,de mo ro sos,3
demorosas,adjetivo,femenino,plural,de mo ro sas,3
dije,adjetivo,neutro,singular,di je,1
dijes,adjetivo,neutro,plural,di jes,1
droguero,adjetivo,masculino,singular,dro gue ro,2
droguera,adjetivo,femenino,singular,dro gue ra,2
drogueros,adjetivo,masculino,plural,dro gue ros,2
drogueras,adjetivo,femenino,plural,dro gue ras,2
enrulado,adjetivo,masculino,singular,en ru la do,3
enrulada,adjetivo,femenino,singular,en ru la da,3
enrulados,adjetivo,masculino,plural,en ru la dos,3
enruladas,adjetivo,femenino,plural,en ru la das,3
espinudo,adjetivo,masculino,singular,es pi nu do,3
espinuda,adjetivo,femenino,singular,es pi nu da,3
espinudos,adjetivo,masculino,plural,es pi nu dos,3
espinudas,adjetivo,femenino,plural,es pi nu das,3
exfoliador,adjetivo,masculino,singular,ex fo lia dor,4
exfoliadora,adjetivo,femenino,singular,ex fo lia do ra,4
exfoliadores,adjetivo,masculino,plural,ex fo lia do res,4
exfoliadoras,adjetivo,femenino,plural,ex fo lia do ras,4
ferrocarrilero,adjetivo,masculino,singular,fe rro ca rri le ro,5
ferrocarrilera,adjetivo,femenino,singular,fe rro ca rri le ra,5
ferrocarrileros,adjetivo,masculino,plural,fe rro ca rri le ros,5
ferrocarrileras,adjetivo,femenino,plural,fe rro ca rri le ras,5
filudo,adjetivo,masculino,singular,fi lu do,2
filuda,adjetivo,femenino,singular,fi lu da,2
filudos,adjetivo,masculino,plural,fi lu dos,2
filudas,adjetivo,femenino,plural,fi lu das,2
fondeado,adjetivo,masculino,singular,fon de a do,3
fondeada,adjetivo,femenino,singular,fon de a da,3
fondeados,adjetivo,masculino,plural,fon de a dos,3
fondeadas,adjetivo,femenino,plural,fon de a das,3
fregado,adjetivo,masculino,singular,fre ga do,2
fregada,adjetivo,femenino,singular,fre ga da,2
fregados,adjetivo,masculino,plural,fre ga dos,2
fregadas,adjetivo,femenino,plural,fre ga das,2
fundido,adjetivo,masculino,singular,fun di do,2
fundida,adjetivo,femenino,singular,fun di da,2
fundidos,adjetivo,masculino,plural,fun di dos,2
fundidas,adjetivo,femenino,plural,fun di das,2
gallero,adjetivo,neutro,singular,ga lle ro,2
galleros,adjetivo,neutro,plural,ga lle ros,2
guarango,adjetivo,masculino,singular,gua ran go,2
guaranga,adjetivo,femenino,singular,gua ran ga,2
guarangos,adjetivo,masculino,plural,gua ran gos,2
guarangas,adjetivo,femenino,plural,gua ran gas,2
guaso,adjetivo,masculino,singular,gua so,1
guasa,adjetivo,femenino,singular,gua sa,1
guasos,adjetivo,masculino,plural,gua sos,1
guasas,adjetivo,femenino,plural,gua sas,1
hostigoso,adjetivo,masculino,singular,hos ti go so,3
hostigosa,adjetivo,femenino,singular,hos ti go sa,3
hostigosos,adjetivo,masculino,plural,hos ti go sos,3
hostigosas,adjetivo,femenino,plural,hos ti go sas,3
impago,adjetivo,masculino,singular,im pa go,2
impaga,adjetivo,femenino,singular,im pa ga,2
impagos,adjetivo,masculino,plural,im pa gos,2
impagas,adjetivo,femenino,plural,im pa gas,2
invalorable,adjetivo,neutro,singular,in va lo ra ble,4
invalorables,adjetivo,neutro,plural,in va lo ra bles,4
jeringa,adjetivo,neutro,singular,je rin ga,2
jeringas,adjetivo,neutro,plural,je rin gas,2
macaco,adjetivo,neutro,singular,ma ca co,2
macacos,adjetivo,neutro,plural,ma ca cos,2
macanudo,adjetivo,masculino,singular,ma ca nu do,3
macanuda,adjetivo,femenino,singular,ma ca nu da,3
macanudos,adjetivo,masculino,plural,ma ca nu dos,3
macanudas,adjetivo,femenino,plural,ma ca nu das,3
macuco,adjetivo,masculino,singular,ma cu co,2
macuca,adjetivo,femenino,singular,ma cu ca,2
macucos,adjetivo,masculino,plural,ma cu cos,2
macucas,adjetivo,femenino,plural,ma cu cas,2
malgeniado,adjetivo,masculino,singular,mal ge nia do,3
malgeniada,adjetivo,femenino,singular,mal ge nia da,3
malgeniados,adjetivo,masculino,plural,mal ge nia dos,3
malgeniadas,adjetivo,femenino,plural,mal ge nia das,3
matero,adjetivo,masculino,singular,ma te ro,2
matera,adjetivo,femenino,singular,ma te ra,2
materos,adjetivo,masculino,plural,ma te ros,2
materas,adjetivo,femenino,plural,ma te ras,2
maturrango,adjetivo,masculino,singular,ma tu rran go,3
maturranga,adjetivo,femenino,singular,ma tu rran ga,3
maturrangos,adjetivo,masculino,plural,ma tu rran gos,3
maturrangas,adjetivo,femenino,plural,ma tu rran gas,3
maula,adjetivo,neutro,singular,mau la,1
maulas,adjetivo,neutro,plural,mau las,1
metalero,adjetivo,masculino,singular,me ta le ro,3
metalera,adjetivo,femenino,singular,me ta le ra,3
metaleros,adjetivo,masculino,plural,me ta le ros,3
metaleras,adjetivo,femenino,plural,me ta le ras,3
micha,adjetivo,neutro,singular,mi cha,1
michas,adjetivo,neutro,plural,mi chas,1
mitotero,adjetivo,masculino,singular,mi to te ro,3
mitotera,adjetivo,femenino,singular,mi to te ra,3
mitoteros,adjetivo,masculino,plural,mi to te ros,3
mitoteras,adjetivo,femenino,plural,mi to te ras,3
mujerero,adjetivo,neutro,singular,mu je re ro,3
mujereros,adjetivo,neutro,plural,mu je re ros,3
multifamiliar,adjetivo,neutro,singular,mul ti fa mi liar,5
multifamiliares,adjetivo,neutro,plural,mul ti fa mi lia res,5
oficialista,adjetivo,neutro,singular,o fi cia lis ta,4
oficialistas,adjetivo,neutro,plural,o fi cia lis tas,4
opa,adjetivo,neutro,singular,o pa,1
opas,adjetivo,neutro,plural,o pas,1
paquete,adjetivo,masculino,singular,pa que te,2
paqueta,adjetivo,femenino,singular,pa que ta,2
paquetes,adjetivo,masculino,plural,pa que tes,2
paquetas,adjetivo,femenino,plural,pa que tas,2
riesgoso,adjetivo,masculino,singular,ries go so,2
riesgosa,adjetivo,femenino,singular,ries go sa,2
riesgosos,adjetivo,masculino,plural,ries go sos,2
riesgosas,adjetivo,femenino,plural,ries go sas,2
rotoso,adjetivo,masculino,singular,ro to so,2
rotosa,adjetivo,femenino,singular,ro to sa,2
rotosos,adjetivo,masculino,plural,ro to sos,2
rotosas,adjetivo,femenino,plural,ro to sas,2
sorpresivo,adjetivo,masculino,singular,sor pre si vo,3
sorpresiva,adjetivo,femenino,singular,sor pre si va,3
sorpresivos,adjetivo,masculino,plural,sor pre si vos,3
sorpresivas,adjetivo,femenino,plural,sor pre si vas,3
suertero,adjetivo,masculino,singular,suer te ro,2
suertera,adjetivo,femenino,singular,suer te ra,2
suerteros,adjetivo,masculino,plural,suer te ros,2
suerteras,adjetivo,femenino,plural,suer te ras,2
suplementero,adjetivo,neutro,singular,su ple men te ro,4
suplementeros,adjetivo,neutro,plural,su ple men te ros,4
tambero,adjetivo,masculino,singular,tam be ro,2
tambera,adjetivo,femenino,singular,tam be ra,2
tamberos,adjetivo,masculino,plural,tam be ros,2
tamberas,adjetivo,femenino,plural,tam be ras,2
