word,category,genre,number,syllables,tonic
abona,sustantivo,neutro,singular,a bo na,2
adra,sustantivo,neutro,singular,a dra,1
adrián,sustantivo,neutro,singular,a drián,2
águilas,sustantivo,neutro,singular,á gui las,1
alcantarilla,sustantivo,neutro,singular,al can ta ri lla,4
alhama,sustantivo,neutro,singular,a lha ma,2
altea,sustantivo,neutro,singular,al te a,2
ames,sustantivo,neutro,singular,a mes,1
andrés,sustantivo,neutro,singular,an drés,2
armilla,sustantivo,neutro,singular,ar mi lla,2
arrecife,sustantivo,neutro,singular,a rre ci fe,3
aspe,sustantivo,neutro,singular,as pe,1
barcelona,sustantivo,neutro,singular,bar ce lo na,3
cabra,sustantivo,neutro,singular,ca bra,1
camas,sustantivo,neutro,singular,ca mas,1
campo,sustantivo,neutro,singular,cam po,1
cangas,sustantivo,neutro,singular,can gas,1
caravaca,sustantivo,neutro,singular,ca ra va ca,3
cártama,sustantivo,neutro,singular,cár ta ma,1
castro,sustantivo,neutro,singular,cas tro,1
ciudad,sustantivo,neutro,singular,ciu dad,2
ciudadela,sustantivo,neutro,singular,ciu da de la,3
collado,sustantivo,neutro,singular,co lla do,2
compostela,sustantivo,neutro,singular,com pos te la,3
coria,sustantivo,neutro,singular,co ria,1
coruña,sustantivo,neutro,singular,co ru ña,2
dos,sustantivo,neutro,singular,dos,1
ejido,sustantivo,neutro,singular,e ji do,2
esparraguera,sustantivo,neutro,singular,es pa rra gue ra,4
frontera,sustantivo,neutro,singular,fron te ra,2
galapagar,sustantivo,neutro,singular,ga la pa gar,4
gandía,sustantivo,neutro,singular,gan dí a,2
granada,sustantivo,neutro,singular,gra na da,2
granadilla,sustantivo,neutro,singular,gra na di lla,3
guía,sustantivo,neutro,singular,guí a,1
hermanas,sustantivo,neutro,singular,her ma nas,2
horadada,sustantivo,neutro,singular,ho ra da da,3
igualada,sustantivo,neutro,singular,i gua la da,3
ingenio,sustantivo,neutro,singular,in ge nio,2
isla,sustantivo,neutro,singular,is la,1
laguna,sustantivo,neutro,singular,la gu na,2
león,sustantivo,neutro,singular,le ón,2
lepe,sustantivo,neutro,singular,le pe,1
lucía,sustantivo,neutro,singular,lu cí a,2
mahón,sustantivo,neutro,singular,ma hón,2
málaga,sustantivo,neutro,singular,má la ga,1
mar,sustantivo,neutro,singular,mar,1
maría,sustantivo,neutro,singular,ma rí a,2
mazarrón,sustantivo,neutro,singular,ma za rrón,3
monte,sustantivo,neutro,singular,mon te,1
morón,sustantivo,neutro,singular,mo rón,2
motril,sustantivo,neutro,singular,mo tril,2
murcia,sustantivo,neutro,singular,mur cia,1
oliva,sustantivo,neutro,singular,o li va,2
pájara,sustantivo,neutro,singular,pá ja ra,1
palencia,sustantivo,neutro,singular,pa len cia,2
palma,sustantivo,neutro,singular,pal ma,1
palmas,sustantivo,neutro,singular,pal mas,1
parla,sustantivo,neutro,singular,par la,1
piélagos,sustantivo,neutro,singular,pié la gos,1
pilar,sustantivo,neutro,singular,pi lar,2
pinto,sustantivo,neutro,singular,pin to,1
pola,sustantivo,neutro,singular,po la,1
premiá,sustantivo,neutro,singular,pre miá,2
puebla,sustantivo,neutro,singular,pue bla,1
realejos,sustantivo,neutro,singular,re a le jos,3
reina,sustantivo,neutro,singular,rei na,1
rey,sustantivo,neutro,singular,rey,1
reyes,sustantivo,neutro,singular,re yes,1
río,sustantivo,neutro,singular,rí o,1
ronda,sustantivo,neutro,singular,ron da,1
rosario,sustantivo,neutro,singular,ro sa rio,2
rota,sustantivo,neutro,singular,ro ta,1
rozas,sustantivo,neutro,singular,ro zas,1
salamanca,sustantivo,neutro,singular,sa la man ca,3
segura,sustantivo,neutro,singular,se gu ra,2
serena,sustantivo,neutro,singular,se re na,2
sevilla,sustantivo,neutro,singular,se vi lla,2
tías,sustantivo,neutro,singular,tí as,1
toledo,sustantivo,neutro,singular,to le do,2
tomares,sustantivo,neutro,singular,to ma res,2
torre,sustantivo,neutro,singular,to rre,1
torrejón,sustantivo,neutro,singular,to rre jón,3
torres,sustantivo,neutro,singular,to rres,1
tres,sustantivo,neutro,singular,tres,1
utrera,sustantivo,neutro,singular,u tre ra,2
vicente,sustantivo,neutro,singular,vi cen te,2
villanueva,sustantivo,neutro,singular,vi lla nue va,3
zamora,sustantivo,neutro,singular,za mo ra,2
araba,sustantivo,neutro,singular,a ra ba,2
asturias,sustantivo,neutro,singular,as tu rias,2
baleares,sustantivo,neutro,singular,ba le a res,3
barcelona,sustantivo,neutro,singular,bar ce lo na,3
cantabria,sustantivo,neutro,singular,can ta bria,2
ciudad,sustantivo,neutro,singular,ciu dad,2
coruña,sustantivo,neutro,singular,co ru ña,2
granada,sustantivo,neutro,singular,gra na da,2
islas,sustantivo,neutro,singular,is las,1
león,sustantivo,neutro,singular,le ón,2
málaga,sustantivo,neutro,singular,má la ga,1
murcia,sustantivo,neutro,singular,mur cia,1
palencia,sustantivo,neutro,singular,pa len cia,2
palmas,sustantivo,neutro,singular,pal mas,1
salamanca,sustantivo,neutro,singular,sa la man ca,3
sevilla,sustantivo,neutro,singular,se vi lla,2
toledo,sustantivo,neutro,singular,to le do,2
vizcaya,sustantivo,neutro,singular,viz ca ya,2
zamora,sustantivo,neutro,singular,za mo ra,2
aragón,sustantivo,neutro,singular,a ra gón,3
asturias,sustantivo,neutro,singular,as tu rias,2
baleares,sustantivo,neutro,singular,ba le a res,3
cantabria,sustantivo,neutro,singular,can ta bria,2
león,sustantivo,neutro,singular,le ón,2
mancha,sustantivo,neutro,singular,man cha,1
murcia,sustantivo,neutro,singular,mur cia,1
asientos,sustantivo,neutro,singular,a sien tos,2
maría,sustantivo,neutro,singular,ma rí a,2
playas,sustantivo,neutro,singular,pla yas,1
cabos,sustantivo,neutro,singular,ca bos,1
acuña,sustantivo,neutro,singular,a cu ña,2
castaños,sustantivo,neutro,singular,cas ta ños,2
cuatro,sustantivo,neutro,singular,cua tro,1
ciénegas,sustantivo,neutro,singular,cié ne gas,1
madero,sustantivo,neutro,singular,ma de ro,2
frontera,sustantivo,neutro,singular,fron te ra,2
general,sustantivo,neutro,singular,ge ne ral,3
guerrero,sustantivo,neutro,singular,gue rre ro,2
hidalgo,sustantivo,neutro,singular,hi dal go,2
matamoros,sustantivo,neutro,singular,ma ta mo ros,3
nava,sustantivo,neutro,singular,na va,1
parras,sustantivo,neutro,singular,pa rras,1
piedras,sustantivo,neutro,singular,pie dras,1
negras,sustantivo,neutro,singular,ne gras,1
progreso,sustantivo,neutro,singular,pro gre so,2
sacramento,sustantivo,neutro,singular,sa cra men to,3
buenaventura,sustantivo,neutro,singular,bue na ven tu ra,4
sierra,sustantivo,neutro,singular,sie rra,1
mojada,sustantivo,neutro,singular,mo ja da,2
villa,sustantivo,neutro,singular,vi lla,1
colima,sustantivo,neutro,singular,co li ma,2
manzanillo,sustantivo,neutro,singular,man za ni llo,3
frontera,sustantivo,neutro,singular,fron te ra,2
bejucal,sustantivo,neutro,singular,be ju cal,3
vista,sustantivo,neutro,singular,vis ta,1
bosque,sustantivo,neutro,singular,bos que,1
chiapa,sustantivo,neutro,singular,chia pa,1
frontera,sustantivo,neutro,singular,fron te ra,2
hidalgo,sustantivo,neutro,singular,hi dal go,2
independencia,sustantivo,neutro,singular,in de pen den cia,4
libertad,sustantivo,neutro,singular,li ber tad,3
margaritas,sustantivo,neutro,singular,mar ga ri tas,3
espinosa,sustantivo,neutro,singular,es pi no sa,3
rayón,sustantivo,neutro,singular,ra yón,2
reforma,sustantivo,neutro,singular,re for ma,2
rosas,sustantivo,neutro,singular,ro sas,1
sabanilla,sustantivo,neutro,singular,sa ba ni lla,3
salto,sustantivo,neutro,singular,sal to,1
agua,sustantivo,neutro,singular,a gua,1
casas,sustantivo,neutro,singular,ca sas,1
maravilla,sustantivo,neutro,singular,ma ra vi lla,3
marqués,sustantivo,neutro,singular,mar qués,2
comillas,sustantivo,neutro,singular,co mi llas,2
andrés,sustantivo,neutro,singular,an drés,2
pinar,sustantivo,neutro,singular,pi nar,2
ahumada,sustantivo,neutro,singular,ahu ma da,2
aquiles,sustantivo,neutro,singular,a qui les,2
buenaventura,sustantivo,neutro,singular,bue na ven tu ra,4
casas,sustantivo,neutro,singular,ca sas,1
coronado,sustantivo,neutro,singular,co ro na do,3
galeana,sustantivo,neutro,singular,ga le a na,3
farías,sustantivo,neutro,singular,fa rí as,2
calvo,sustantivo,neutro,singular,cal vo,1
guerrero,sustantivo,neutro,singular,gue rre ro,2
lópez,sustantivo,neutro,singular,ló pez,1
madera,sustantivo,neutro,singular,ma de ra,2
matamoros,sustantivo,neutro,singular,ma ta mo ros,3
rosales,sustantivo,neutro,singular,ro sa les,2
rosario,sustantivo,neutro,singular,ro sa rio,2
oro,sustantivo,neutro,singular,o ro,1
saucillo,sustantivo,neutro,singular,sau ci llo,2
tule,sustantivo,neutro,singular,tu le,1
valle,sustantivo,neutro,singular,va lle,1
milpa,sustantivo,neutro,singular,mil pa,1
alta,sustantivo,neutro,singular,al ta,1
obregón,sustantivo,neutro,singular,o bre gón,3
hidalgo,sustantivo,neutro,singular,hi dal go,2
lerdo,sustantivo,neutro,singular,ler do,1
nombre,sustantivo,neutro,singular,nom bre,1
dios,sustantivo,neutro,singular,dios,1
oro,sustantivo,neutro,singular,o ro,1
coronado,sustantivo,neutro,singular,co ro na do,3
pueblo,sustantivo,neutro,singular,pue blo,1
rodeo,sustantivo,neutro,singular,ro de o,2
bernardo,sustantivo,neutro,singular,ber nar do,2
dimas,sustantivo,neutro,singular,di mas,1
río,sustantivo,neutro,singular,rí o,1
gallo,sustantivo,neutro,singular,ga llo,1
clara,sustantivo,neutro,singular,cla ra,1
súchil,sustantivo,neutro,singular,sú chil,1
vicente,sustantivo,neutro,singular,vi cen te,2
ideal,sustantivo,neutro,singular,i de al,3
alto,sustantivo,neutro,singular,al to,1
doblado,sustantivo,neutro,singular,do bla do,2
doctor,sustantivo,neutro,singular,doc tor,2
mora,sustantivo,neutro,singular,mo ra,1
